業管機關簡碼,業管子機關簡碼,CCTV 設備代碼,基礎路段代碼,參考影像圖片的監看方位,參考影像圖片,動態影像串流網址,設置地點位置類型,設備架設位置X坐標,設備架設位置Y坐標,地理識別碼,縣市代碼,縣市名稱,市區鄉鎮代碼,市區鄉鎮名稱,道路代碼,道路名稱,道路分類,所屬道路方向,路段起點描述,路段迄點描述,所在方向里程數,路側設備布設簡圖URL,來源端平台資料更新時間(yyyy-MM-ddHH:mm:ss),本平台資料更新時間(yyyy-MM-ddHH:mm:ss),資料代表時間(yyyy-MM-ddHH:mm:ss),資料代表日期(yyyy-MM-dd)
AuthorityCode,SubAuthorityCode,CCTVID,LinkID,Bearing,Image,VideoStreamUrl,LocationType,PositionLon,PositionLat,Geohash,CountyID,CountyName,TownID,TownName,RoadID,RoadName,RoadClass,RoadDirection,RoadSectionStart,RoadSectionEnd,LocationMile,LayoutMapURL,SrcUpdateTime,UpdateTime,InfoTime,InfoDate
THB,THB-1R,CCTV-12-0650-012-03,6251050000000F,,,https://cctv-ss03.thb.gov.tw:443/T65-12K+016,1,121.433,24.96773,wsqq530z,65000,新北市,13,土城區,625105F,台65線,6,N,,,12K+016,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-3R,CCTV-34-0290-041-01,3002900104018E,,,https://cctv-ss05.thb.gov.tw:443/T29-41K+300,1,120.551972,23.045974,wsjep5rk,64000,高雄市,33,甲仙區,300290,台29線,3,N,,,41K+300,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-3R,CCTV-31-019A-058-01,3001910005918E,,,https://cctv-ss05.thb.gov.tw:443/T19A-58K+000,1,120.3252778,22.87166667,wsjd45dj,64000,高雄市,23,阿蓮區,300191,台19甲線,3,S,,,58K+000,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-3R,CCTV-33-0110-123-01,3001100112372V,,,https://cctv-ss04.thb.gov.tw:443/T11-123K+900,1,121.3312107,23.0262344,wsn6bzy9,10014,臺東縣,2,成功鎮,300110,台11線,3,N,,,123K+900,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
NWT,,C000189,6251020100030F,,,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000189,1,121.65691,25.06709,wsqw877f,65000,新北市,11,汐止區,625102F,大同路二段,6,NE,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
TPE,,T000386,6000430200090A,,,http://control.bote.gov.taipei/view_camera.html?ccd_id=386,1,121.5201,25.0933,wsqqv205,63000,臺北市,11,士林區,600043A,中正路,6,E,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
TAO,,T506550,6372440400010H,,,https://cctvtraffic.tycg.gov.tw/camera140,1,121.28266,24.85618,wsqjrugm,68000,桃園市,3,大溪區,637244H,康莊路三段,6,S,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
THB,THB-4R,CCTV-43-0090-182-01,3000900118141U,,,https://cctv-ss06.thb.gov.tw:443/T9-182K+600,1,121.603489,24.040848,wsq2z0sb,10015,花蓮縣,4,新城鄉,300090,台9線,3,N,,,182K+600,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-3R,CCTV-37-0090-377-01,3000900137728V,,,https://cctv-ss05.thb.gov.tw:443/T9-377K+500,1,121.0458918,22.688935,wsn146qu,10014,臺東縣,9,太麻里鄉,300090,台9線,3,N,,,377K+500,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-3R,CCTV-32-0010-424-01,3000100042327T,,,https://cctv-ss05.thb.gov.tw:443/T1-424K+050,1,120.5391667,22.49055556,wevxyymb,10013,屏東縣,20,南州鄉,300010,台1線,3,S,,,424K+050,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-5R,CCTV-56-0180-090-002,3001800109043Q,,,https://cctv-ss06.thb.gov.tw:443/T18-90K+620,1,120.80829,23.50398,wsjvtncb,10010,嘉義縣,18,阿里山鄉,300180,台18線,3,W,,,90K+620,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-3R,CCTV-35-0090-452-02,3000900045265T,,,https://cctv-ss05.thb.gov.tw:443/T9-452K+500,1,120.694022,22.206795,wevy66we,10013,屏東縣,25,枋山鄉,300090,台9線,3,S,,,452K+500,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-5R,CCTV-56-0180-021-001,3001800102100Q,,,https://cctv-ss06.thb.gov.tw:443/T18-21K+040,1,120.48756,23.45019,wsjtmubr,10010,嘉義縣,13,中埔鄉,300180,台18線,3,W,,,21K+040,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
KHH,,64000C000087,6192540200110E,,,https://cctv9.kctmc.nat.gov.tw/play/jpg.php?devid={4edaf1e2-8dd6-6044-5dad-eb820d61f5c7}&amp;amp;L=33806a101aa5543ed05e71b6f76648a8,1,120.30191,22.63136,wsj89xcj,64000,高雄市,6,新興區,619254E,中正四路,6,E,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
THB,THB-4R,CCTV-41-0020-127-01,3000200112787G,,,https://cctv-ss01.thb.gov.tw:443/T2-127K+950,1,121.871965,24.906871,wsqttq0m,10002,宜蘭縣,4,頭城鎮,300020,台2線,3,W,,,127K+950,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
KHH,,64000C000267,3001700124697E,,,https://cctv9.kctmc.nat.gov.tw/play/jpg.php?devid={970e88e6-2755-6804-8131-579ca8e12dcf}&amp;amp;L=33806a101aa5543ed05e71b6f76648a8,2,120.398,22.50068,wsj858p5,64000,高雄市,13,林園區,300170,台17線,3,N,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
KHH,,64000C000245,6192360300028E,,,https://cctv6.kctmc.nat.gov.tw/3a3bad81,2,120.24993,22.88075,wsjd0m76,64000,高雄市,25,湖內區,619236E,中山路一段,6,SE,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
KHH,,64000C000221,6208540300000E,,,https://cctv6.kctmc.nat.gov.tw/9a4a8e39,1,120.32866,22.58041,wsj86nss,64000,高雄市,9,前鎮區,620854E,翠亨南路,6,SE,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
TXG,,C000105,6079690100020B,,,http://e-traffic.taichung.gov.tw/ATIS_TCC/Device/Showcctv?id=C000105,1,120.7243834,24.2537139,wsmcgpkb,66000,臺中市,9,豐原區,607969B,豐陽路,6,NE,,,,,2022-10-24 00:01:16,2022-10-28 06:30:00,2022-10-24 00:01:16,2022-10-24
THB,THB-4R,CCTV-42-009D-054-02,3000940105382U,,,https://cctv-ss02.thb.gov.tw:443/T9D-054K+070,1,121.7447,24.314875,wsqd667u,10015,花蓮縣,11,秀林鄉,300094,台9丁線,3,N,,,054K+070,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-1R,CCTV-12-009A-006-02,3000910000689F,,,https://cctv-ss03.thb.gov.tw:443/T9A-6K+950,1,121.5516,24.90907,wsqmtyx1,65000,新北市,6,新店區,300091,台9甲線,3,S,,,6K+950,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
THB,THB-5R,CCTV-54-019A-057-002,6157000000050D,,,https://cctv-ss06.thb.gov.tw:443/T19A-57K+212,1,120.33845,22.89049,wsjd4r5f,67000,臺南市,29,關廟區,615700D,台19甲線,6,N,,,57K+212,,2022-10-24 00:18:16,2022-10-28 06:30:00,2022-10-24 00:18:16,2022-10-24
KHH,,64000C000348,6190530600070E,,,https://cctv1.kctmc.nat.gov.tw/1761ad24,1,120.34118,22.62451,wsj8dqtv,64000,高雄市,8,苓雅區,619053E,三多一路,6,W,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
KHH,,64000C000318,6192180300060E,,,http://221.120.37.157:10180/,1,120.31574,22.59596,wsj89c7p,64000,高雄市,9,前鎮區,619218E,中山三路,6,SE,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
KHH,,64000C000207,6208630700000E,,,https://cctv7.kctmc.nat.gov.tw/play/jpg.php?devid={2c13f72e-075f-9274-65dc-04f4adb96db7}&amp;amp;L=dfe8885c1acbe4c5e5fb91e6d9bd3724,1,120.33317,22.72064,wsj960pv,64000,高雄市,17,仁武區,620863E,鳳仁路,6,NW,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
CHA,,CCTV100,4014400100550N,,,https://117.56.220.4:8403/Interface/Cameras/GetJPEGStream?Camera=CCTV100&amp;amp;Width=320&amp;amp;Height=240&amp;amp;Quality=50&amp;amp;FPS=5&amp;amp;AuthUser=web,4,120.444653,24.027547,wsm8sy14,10007,彰化縣,6,福興鄉,,,0,,,,,,2022-10-24 00:00:00,2022-10-28 06:30:00,2022-10-24 00:00:00,2022-10-24
